Question,Answer,Source Pages,Importance,Concept,Tags
"What are the roles of the Program Counter and the Accumulator in the CPU?","The Program Counter holds the address of the next instruction to be executed, while the Accumulator temporarily stores data and results from arithmetic and logic operations.","5-6-7-8-9-10","9","Registers","page-5-6-7-8-9-10,cs,textbook"
"What is the purpose of registers in the CPU?","Registers are special memory cells that temporarily store results of arithmetic, logical, or shift operations at high speed.","10-11-12","9","Registers","page-10-11-12,cs,textbook"
"What is the purpose of buses in a computer system?","Buses are sets of parallel wires that connect components of a computer, allowing for the transfer of data, addresses, and control signals between the CPU, memory, and I/O devices.","5-6-7-8-9-10","9","Buses","page-5-6-7-8-9-10,cs,textbook"
"What are the three types of buses in a CPU system, and what is their function?","The three types of buses are the data bus (transfers data), address bus (transfers addresses), and control bus (transfers control signals) between the CPU, memory, and I/O devices.","5-6-7-8-9-10","9","Buses","page-5-6-7-8-9-10,cs,textbook"
"What are the three main buses that make up the system bus?","The three main buses are the control bus, data bus, and address bus.","10-11-12","9","System Bus","page-10-11-12,cs,textbook"
"What is the primary function of the control bus?","The control bus transmits command, timing, and specific status information between system components.","10-11-12","9","Control Bus","page-10-11-12,cs,textbook"
"How is the data bus utilized in a computer system?","The data bus provides a bi-directional path for moving data and instructions between system components.","10-11-12","9","Data Bus","page-10-11-12,cs,textbook"
"What is the role of the address bus in memory operations?","The address bus transmits the memory addresses of words used as operands in program instructions.","10-11-12","9","Address Bus","page-10-11-12,cs,textbook"
"What types of operations does the Arithmetic-Logic Unit (ALU) perform?","The ALU performs arithmetic and logical operations, including ADD, SUBTRACT, MULTIPLY, DIVIDE, and Boolean logic operations.","10-11-12","9","Arithmetic-Logic Unit (ALU)","page-10-11-12,cs,textbook"
"Explain the role of the Program Counter (PC) in the Fetch-Decode-Execute cycle.","The PC holds the address of the next instruction to be fetched and is incremented after each fetch.","12-13-14","9","Program Counter (PC)","page-12-13-14,cs,textbook"
"What is the purpose of the Current Instruction Register (CIR)?","The CIR holds the instruction that is currently being executed.","12-13-14","9","Current Instruction Register (CIR)","page-12-13-14,cs,textbook"
"What is the function of the Memory Address Register (MAR)?","The MAR holds the address of the next instruction to be fetched or the address to which data is to be written.","12-13-14","9","Memory Address Register (MAR)","page-12-13-14,cs,textbook"
"What does the Memory Data Register (MDR) do?","The MDR temporarily stores the data read from or written to memory.","12-13-14","9","Memory Data Register (MDR)","page-12-13-14,cs,textbook"
"What are the main components of a processor?","1. Control Unit, 2. Arithmetic Logic Unit, 3. Registers, 4. Cache, 5. Bus Interface Unit","14-15","9","Components of a processor","page-14-15,cs,textbook"
"How does clock speed affect CPU performance?","Higher clock speed means the CPU can execute instructions faster, as operations are synchronized with the clock pulses.","14-15","9","Clock speed","page-14-15,cs,textbook"
"What is the significance of having multiple cores in a processor?","Multiple cores allow for parallel processing, enabling the CPU to execute multiple instructions simultaneously, potentially increasing performance.","14-15","9","Number of cores","page-14-15,cs,textbook"
"What role does cache memory play in processor performance?","Cache memory stores frequently accessed data and instructions, allowing the CPU to retrieve them more quickly than accessing main memory.","14-15","9","Cache memory","page-14-15,cs,textbook"
"What are the different types of processors?","The different types of processors include general-purpose processors, multi-core processors, and specialized processors like GPUs.","1-2-3-4-5","8","Types of processor","page-1-2-3-4-5,cs,textbook"
"What is the primary function of input devices?","The primary function of input devices is to allow users to input data and commands into a computer system.","1-2-3-4-5","8","Input devices","page-1-2-3-4-5,cs,textbook"
"What role do output devices play in a computer system?","Output devices convert computer data into a form understandable by users, such as visual display, sound, or printed output.","1-2-3-4-5","8","Output devices","page-1-2-3-4-5,cs,textbook"
"What are the main types of storage devices?","The main types of storage devices include hard drives, solid-state drives, and removable storage like USB flash drives.","1-2-3-4-5","8","Storage devices","page-1-2-3-4-5,cs,textbook"
"What are the different types of operating systems?","The different types of operating systems include batch, time-sharing, distributed, and embedded operating systems.","1-2-3-4-5","8","Types of operating system","page-1-2-3-4-5,cs,textbook"
"What is the purpose of a programming language translator?","The purpose of a programming language translator is to convert high-level programming languages into machine code that a computer can execute.","1-2-3-4-5","8","Programming language translators","page-1-2-3-4-5,cs,textbook"
"What is the function of compression in data management?","Compression reduces the size of data for storage efficiency and faster transmission over networks.","1-2-3-4-5","8","Compression, encryption and hashing","page-1-2-3-4-5,cs,textbook"
"What does the Program Counter (PC) hold?","The Program Counter holds the address of the next instruction to be executed.","10-11-12","8","Program Counter (PC)","page-10-11-12,cs,textbook"
"What is the function of the Current Instruction Register (CIR)?","The CIR holds the current instruction being executed, divided into operand and opcode.","10-11-12","8","Current Instruction Register (CIR)","page-10-11-12,cs,textbook"
"What does the Memory Address Register (MAR) do?","The MAR holds the address of the memory location from which data or instructions are to be fetched or written.","10-11-12","8","Memory Address Register (MAR)","page-10-11-12,cs,textbook"
"What is the role of the Memory Data Register (MDR)?","The MDR temporarily stores the data read from or written to memory, also known as the memory buffer register.","10-11-12","8","Memory Data Register (MDR)","page-10-11-12,cs,textbook"
"What are opcode and operand in the context of instruction execution?","The opcode specifies the operation to be performed, while the operand specifies the data or address involved in the operation.","12-13-14","8","Opcode and Operand","page-12-13-14,cs,textbook"
"Why might a slower processor with larger cache outperform a faster processor with limited cache?","A larger cache can reduce the need to access slower main memory frequently, which can lead to better overall performance despite a lower clock speed.","14-15","8","Impact of cache size on performance","page-14-15,cs,textbook"
"What are the methods involved in systems analysis?","Methods involved in systems analysis include requirements gathering, modeling, and feasibility analysis.","1-2-3-4-5","7","Systems analysis methods","page-1-2-3-4-5,cs,textbook"
"What are the main programming paradigms?","The main programming paradigms include procedural, object-oriented, functional, and logic programming.","1-2-3-4-5","7","Programming paradigms","page-1-2-3-4-5,cs,textbook"
"What is pipelining in the context of CPU operation?","Pipelining is a technique in CPU design where multiple instruction phases are overlapped to improve instruction throughput and overall efficiency.","14-15","7","Pipelining","page-14-15,cs,textbook"
"What is the primary function of transaction processing in databases?","The primary function of transaction processing is to ensure that database transactions are completed reliably and adhere to the ACID properties.","1-2-3-4-5","6","Transaction processing","page-1-2-3-4-5,cs,textbook"
"What is the difference between the control bus and data bus?","The control bus carries control signals to manage operations, while the data bus carries actual data between components.","12-13-14","6","Bus in Computer Architecture","page-12-13-14,cs,textbook"
