What are the main components of a computer?; Processor components, Input devices, Output devices, Storage devices.; page-1-2-3-4-5 cs textbook Processor components Input devices Output devices Storage devices importance:10
What is hashing in the context of data security?; A process of converting data into a fixed-size string of characters, which is typically a hash value.; page-1-2-3-4-5 cs textbook Exchanging data importance:8
What is the role of a database in data exchange?; To store, retrieve, and manage data efficiently.; page-1-2-3-4-5 cs textbook Exchanging data importance:8
What is relational database normalization?; The process of organizing data to reduce redundancy and improve data integrity.; page-1-2-3-4-5 cs textbook Database concepts importance:8
What is transaction processing in databases?; The management of data changes that ensure data integrity and consistency.; page-1-2-3-4-5 cs textbook Database concepts importance:8
What are the main components of systems software?; Operating systems, utility software, and application software.; page-1-2-3-4-5 cs textbook Software development importance:9
What are the main components of the Central Processing Unit (CPU)?; The main components of the CPU are the Control Unit, Arithmetic Logic Unit (ALU), buses, and dedicated registers.; page-5-6-7-8-9-10 cs textbook Control Unit Arithmetic Logic Unit (ALU) Registers Buses importance:10
What is the role of the Control Unit in the CPU?; The Control Unit directs the flow of data between the CPU and other devices, manages instruction execution, and coordinates activities of the CPU.; page-5-6-7-8-9-10 cs textbook CPU Instruction Execution importance:9
What does the Arithmetic Logic Unit (ALU) do?; The ALU performs arithmetic and logic operations on data.; page-5-6-7-8-9-10 cs textbook CPU Operations importance:9
What are the three types of buses in a computer system?; The three types of buses are the data bus, address bus, and control bus.; page-5-6-7-8-9-10 cs textbook System Bus Data Bus Address Bus Control Bus importance:8
What is the function of the data bus?; The data bus transmits data between the CPU and other components.; page-5-6-7-8-9-10 cs textbook Buses System Bus importance:9
What is the purpose of the address bus?; The address bus carries addresses from the CPU to memory or I/O devices.; page-5-6-7-8-9-10 cs textbook Buses Data Transfer importance:9
What does the control bus do?; The control bus carries control signals between the CPU and other components to manage operations.; page-5-6-7-8-9-10 cs textbook Buses Control Signals importance:9
What is the Fetch-Execute Cycle?; The Fetch-Execute Cycle is the process where the CPU fetches an instruction from memory, decodes it, executes it, and stores the result.; page-5-6-7-8-9-10 cs textbook CPU Instruction Execution importance:9
What is the function of the Program Counter (PC)?; The Program Counter holds the address of the next instruction to be executed.; page-5-6-7-8-9-10 cs textbook Registers Fetch-Execute Cycle importance:8
What is the role of the Accumulator in the CPU?; The Accumulator stores intermediate results of arithmetic and logic operations.; page-5-6-7-8-9-10 cs textbook Registers ALU importance:8
What does the Memory Address Register (MAR) do?; The MAR holds the address of the memory location that the CPU wants to access.; page-5-6-7-8-9-10 cs textbook Registers Memory Access importance:7
What is the purpose of the Memory Data Register (MDR)?; The MDR holds the data that is being transferred to or from memory.; page-5-6-7-8-9-10 cs textbook Registers Data Transfer importance:7
What does the Current Instruction Register (CIR) do?; The CIR holds the instruction that is currently being executed by the CPU.; page-5-6-7-8-9-10 cs textbook Registers Instruction Execution importance:7
What is the system bus in a computer architecture?; The system bus is a shared transmission medium that connects the processor, memory, and I/O controllers, consisting of a data bus, address bus, and control bus.; page-10-11-12 cs textbook Data Bus Address Bus Control Bus importance:10
What is the function of the data bus?; The data bus provides a bi-directional path for moving data and instructions between system components.; page-10-11-12 cs textbook System Bus importance:9
What is the role of the address bus in a computer system?; The address bus transmits memory addresses of words used as operands in program instructions, allowing data retrieval and storage.; page-10-11-12 cs textbook System Bus importance:9
What is the purpose of the control bus?; The control bus transmits command, timing, and specific status information between system components.; page-10-11-12 cs textbook System Bus importance:9
What does the Bus Request signal indicate?; The Bus Request signal indicates that a device is requesting the use of the data bus.; page-10-11-12 cs textbook Control Bus importance:7
What does the Bus Grant signal signify?; The Bus Grant signal indicates that the CPU has granted access to the data bus.; page-10-11-12 cs textbook Control Bus importance:7
What is the function of the Memory Write signal?; The Memory Write signal causes data on the data bus to be written into the addressed location.; page-10-11-12 cs textbook Control Bus importance:8
What does the Memory Read signal do?; The Memory Read signal causes data from the addressed location to be placed on the data bus.; page-10-11-12 cs textbook Control Bus importance:8
What is the role of the Arithmetic-Logic Unit (ALU)?; The ALU performs arithmetic and logical operations on data, including operations like ADD, SUBTRACT, and logical comparisons.; page-10-11-12 cs textbook CPU Registers importance:9
What is the function of the Program Counter (PC)?; The Program Counter holds the address of the next instruction to be executed.; page-10-11-12 cs textbook Registers importance:8
What does the Current Instruction Register (CIR) contain?; The Current Instruction Register holds the current instruction being executed, divided into operand and opcode.; page-10-11-12 cs textbook Registers importance:8
What is the purpose of the Memory Address Register (MAR)?; The Memory Address Register holds the address of the memory location from which data or instructions are fetched or to which data is written.; page-10-11-12 cs textbook Registers importance:8
What does the Memory Data Register (MDR) do?; The Memory Data Register temporarily stores the data read from or written to memory, sometimes known as the memory buffer register.; page-10-11-12 cs textbook Registers importance:8
What are registers in the context of a CPU?; Registers are special memory cells within the CPU that operate at high speed to temporarily hold data during processing.; page-10-11-12 cs textbook CPU ALU importance:9
What are the main components of a processor and their roles?; The main components of a processor are the Arithmetic Logic Unit (ALU), which performs arithmetic and logical operations, and registers, which are small storage locations used to hold temporary data and instructions for the CPU.; cs textbook supplementary page-1-2-3-4-5 importance:9
What are the different types of processors and how do they differ?; Types of processors include single-core, multi-core, and dual-core processors. They differ in the number of execution units they contain, affecting their ability to perform simultaneous tasks and overall performance.; cs textbook supplementary page-1-2-3-4-5 importance:8
How does the Arithmetic Logic Unit (ALU) contribute to the function of a processor?; The ALU performs all arithmetic (addition, subtraction) and logical (AND, OR, NOT) operations, making it essential for executing instructions and processing data within the CPU.; cs textbook supplementary page-1-2-3-4-5 importance:9
What distinguishes a multi-core processor from a single-core processor?; A multi-core processor contains multiple processing units (cores) on a single chip, allowing it to perform multiple tasks simultaneously, while a single-core processor can only handle one task at a time.; cs textbook supplementary page-1-2-3-4-5 importance:8
What is the role of registers in a processor's operation?; Registers are small, fast storage locations within the CPU that hold data and instructions temporarily during processing, allowing for quick access and manipulation by the ALU and other components.; cs textbook supplementary page-1-2-3-4-5 importance:9
What are the main types of processors and how do they differ in functionality?; The main types of processors include Central Processing Units (CPUs), Graphics Processing Units (GPUs), Digital Signal Processors (DSPs), and Application-Specific Integrated Circuits (ASICs). CPUs are general-purpose processors, GPUs are optimized for parallel processing of graphics, DSPs are tailored for signal processing tasks, and ASICs are custom-designed for specific applications.; cs textbook supplementary page-1-2-3-4-5 importance:8
What are the key components of software development and why are algorithms important?; The key components of software development include writing and following algorithms, which are essential for solving problems systematically. Algorithms provide a step-by-step procedure for computation and are the foundation for programming and software design.; cs textbook supplementary page-1-2-3-4-5 importance:9
What are the foundational concepts of exchanging data in computer systems?; Foundational concepts of exchanging data include database concepts such as data storage, retrieval, and management. Understanding how databases facilitate the exchange of information is critical for effective data communication between applications.; cs textbook supplementary page-1-2-3-4-5 importance:7
What is an Interrupt Request and how does it function within a control bus?; An Interrupt Request (IRQ) is a signal sent to the processor indicating that an event needs immediate attention. It allows hardware devices to communicate with the CPU and interrupt its current processes, ensuring timely responses to critical events.; cs textbook supplementary page-10-11-12 importance:8
What role does the clock play in the control bus of a computer system?; The clock in a control bus generates timing signals that synchronize the operations of various components within the computer. It ensures that all parts of the system operate in unison, coordinating data transfers and processing tasks.; cs textbook supplementary page-10-11-12 importance:9
What is an Interrupt Request and how does it function within the Control Bus?; An Interrupt Request is a signal sent to the CPU indicating that an event needs immediate attention. It allows the CPU to pause its current operations and handle the event, ensuring responsive system behavior.; cs textbook supplementary page-10-11-12 importance:8
What role does the Clock play in the Control Bus and how does it affect system operations?; The Clock generates timing signals that synchronize the operations of various components in the computer system, ensuring that data transfers and processing occur in a coordinated manner.; cs textbook supplementary page-10-11-12 importance:9
What is the function of the Memory Address Register (MAR) and its significance in the register architecture?; The Memory Address Register holds the address of the memory location to be accessed, either for reading or writing data. It is essential for directing the CPU to the correct memory location during operations.; cs textbook supplementary page-5-6-7-8-9-10 importance:7
Describe the purpose of the Memory Data Register (MDR) and its role within the register set.; The Memory Data Register temporarily holds data that is being transferred to or from the memory. It acts as a buffer during data transfers between the CPU and memory, ensuring efficient data handling.; cs textbook supplementary page-5-6-7-8-9-10 importance:7
What is the Current Instruction Register (CIR) and how does it contribute to instruction execution?; The Current Instruction Register holds the instruction currently being executed by the CPU. It is crucial for the CPU to decode and execute instructions in the correct sequence.; cs textbook supplementary page-5-6-7-8-9-10 importance:8
What is the role of the Memory Address Register (MAR) in a computer system?; The MAR holds the address of the memory location to be accessed, whether for reading or writing data. It plays a crucial role in the fetch-execute cycle of the CPU.; cs textbook supplementary page-5-6-7-8-9-10 importance:8
How does the Memory Data Register (MDR) function in relation to the Memory Address Register (MAR)?; The MDR temporarily holds the data that is being transferred to or from the memory location specified by the MAR. It acts as a buffer for data during memory operations.; cs textbook supplementary page-5-6-7-8-9-10 importance:8
What is the purpose of the Current Instruction Register (CIR) in the CPU?; The CIR holds the instruction currently being executed by the CPU. It is crucial for decoding and executing instructions as part of the instruction cycle.; cs textbook supplementary page-5-6-7-8-9-10 importance:9
What role does the Current Instruction Register (CIR) play in the execution of instructions within a CPU?; The Current Instruction Register holds the instruction that is currently being executed by the CPU, ensuring that the control unit can decode and execute it properly.; cs textbook supplementary page-5-6-7-8-9-10 importance:9
How does the Current Instruction Register interact with other registers in the CPU?; The Current Instruction Register works closely with the Program Counter (PC), which points to the next instruction to be fetched, while the CIR holds the instruction currently being executed.; cs textbook supplementary page-5-6-7-8-9-10 importance:8
Why is the Current Instruction Register essential for the operation of the control unit in a CPU?; The CIR is essential because it allows the control unit to retrieve, decode, and execute the instruction currently in process, functioning as a critical link in the instruction execution cycle.; cs textbook supplementary page-5-6-7-8-9-10 importance:10
In what way does the Current Instruction Register differ from the Memory Address Register (MAR)?; The Current Instruction Register holds the instruction being executed, while the Memory Address Register holds the address of the memory location to be accessed, thus serving different functions in the CPU.; cs textbook supplementary page-5-6-7-8-9-10 importance:7
How does the size of the Current Instruction Register influence the types of instructions a CPU can execute?; The size of the Current Instruction Register determines the maximum length of instructions that can be processed, affecting the complexity and capability of the instruction set architecture.; cs textbook supplementary page-5-6-7-8-9-10 importance:6
